Taxa	Dbh	WD	LA	CEL	HCEL	LIG
0-10-18	24.3	0.319				
0-12-34	24.2	0.383	81.53428571	0.417498811	0.17831669	0.219210651
0-16-25	26.1	0.356		0.147234381	0.084361321	0.300039793
0-22-29	27.2	0.348		0.047477745	0.135905045	0.724035608
0-24-21	30.7	0.373		0.519808	0.118447	0.27531
0-28-14	27.5	0.353	57.472	0.598969072	0.191237113	0.126804124
0-28-31	29.7	0.383	88.77916667	0.304822566	0.178343949	0.433424325
0-29-02	29	0.376	53.51625	0.56574	0.220135	0.119459
0-29-32	22.1	0.323	71.498125	0.453603	0.209773	0.28381
0-3-23	32.7	0.317	67.0926087	0.296845	0.184262	0.444488
0-5-41	25	0.352	126.4465	0.374336	0.246424	0.234164
0-7-32	26	0.348				
10-10	31.1	0.39	90.99823529	0.286617	0.202132	0.365969
10-12	31	0.363	52.90307692	0.546249	0.241601	0.073631
10-13	28	0.345		0.255009	0.216151	0.387371
10-14	28	0.343	68.8575	0.393339	0.21134	0.240682
10-15	29.7	0.353		0.431537	0.217565	0.217565
10-16	25.4	0.331		0.447437	0.33565	0.064582
10-17	26.7	0.358	78.63125	0.34814	0.183196	0.297865
10-19	24	0.385		0.281919	0.195801	0.379177
10-2	25.2	0.334	81.0225	0.312775	0.203744	0.343062
10-20	27.3	0.384	71.65125	0.497338	0.20142	0.161047
10-21	28	0.367	108.39625	0.332322	0.200657	0.303513
10-22	23.9	0.313	60.302	0.371612	0.181902	0.268259
10-23	27.5	0.342	104.3007143	0.411481	0.187993	0.255478
10-24	29.2	0.373	110.354	0.430374	0.209607	0.222707
10-25	31	0.379	96.99875	0.369246	0.207313	0.279465
10-29	24.2	0.347	101.4207692	0.363057	0.140996	0.038506
10-3	33.5	0.319	60.05	0.458238	0.200801	0.197368
10-30	31.6	0.399	128.65	0.433712	0.184659	0.230114
10-31	23.8	0.37	93.43666667	0.491053	0.171053	0.192105
10-32	30.4	0.361		0.343012	0.197832	0.315525
10-33	27.4	0.36	87.7	0.333205	0.175472	0.348068
10-34	29.2	0.365	134.835	0.4409	0.195433	0.210208
10-36	22.5	0.353	96.66875	0.269511	0.174325	0.418673
10-37	30.1	0.361	90.77142857	0.286419	0.177357	0.377564
10-38	23.6	0.372	100.0959091	0.379824	0.212789	0.286108
10-39	22.7	0.355	92.23277778	0.339698	0.158711	0.352029
10-4	33.2	0.341	71.87833333	0.544338	0.206912	0.112324
10-40	28.1	0.377	105.745	0.484554	0.147838	0.219771
10-41	25.9	0.417	97.386	0.475441	0.189727	0.19679
10-43	24.7	0.35		0.402762	0.183978	0.268508
10-44	24.2	0.388	80.855625	0.371388	0.160324	0.309373
10-5	30.7	0.322		0.434699	0.227273	0.194302
10-6	27.8	0.354	57.472	0.323501	0.197776	0.344294
10-7	29.6	0.359	76.34	0.24547	0.218012	0.346513
10-8	28.8	0.361	50.75166667	0.495468	0.200691	0.144152
10-9	31.2	0.356	66.918	0.28539	0.197822	0.394737
11-10	32.2	0.338		0.348709	0.24672	0.276344
11-11	31.4	0.368		0.368869	0.257803	0.239157
11-12	31.3	0.346	86.20722222	0.328396	0.250529	0.294541
11-13	27.8	0.334	52.1625	0.496916	0.223348	0.139648
11-14	29.7	0.333	55.658125	0.420345	0.239539	0.221497
11-15	27	0.326		0.500751	0.21976	0.166041
11-16	27.5	0.366		0.518851	0.23474	0.125224
11-17	28	0.347	50.91117647	0.514076	0.218482	0.155447
11-18	27.5	0.352	113.09	0.585903	0.227187	0.073631
11-19	25.5	0.371	149.575	0.385757	0.235081	0.261457
11-2	34.6	0.336		0.547311	0.187883	0.117086
11-20	25.9	0.387	113.5285714	0.421364	0.207727	0.245909
11-21	26.2	0.363		0.360744	0.232749	0.285663
11-22	24.1	0.363		0.422162	0.230597	0.225213
11-23	27.1	0.363		0.567491	0.228269	0.079859
11-24	30.8	0.366	56.69375	0.559285	0.229561	0.103357
11-25	25.2	0.383	65.26222222	0.488364	0.229405	0.153306
11-26	30	0.373	61.7622222	0.520325	0.224932	0.126984
11-27	27.6	0.389	95.975	0.453578	0.244234	0.200473
11-28	28	0.39	95.88714286	0.536036	0.248649	0.113514
11-29	24.2	0.363	100.4853333	0.484993	0.228204	0.177704
11-3	30.3	0.36		0.402274	0.203323	0.264539
11-30	22.4	0.343	92.26875	0.527057	0.240699	0.121759
11-31	26.4	0.403	115.1475	0.413299	0.218601	0.252064
11-32	27.4	0.363	98.165	0.305572	0.241066	0.321623
11-33	20.5	0.373	90.83428571	0.490887	0.217497	0.163629
11-34	31	0.352	92.14125	0.454738	0.216517	0.218105
11-35	27.4	0.362	46.06588235	0.527823	0.225041	0.133797
11-36	25	0.401	121.9278571	0.527397	0.239237	0.120352
11-38	27.6	0.375	76.688125	0.407407	0.243827	0.228395
11-4	26	0.334		0.411435	0.19787	0.247758
11-40	24	0.38	61.31714286	0.466289	0.211014	0.153886
11-41	24	0.37	110.12625	0.253881	0.209132	0.371385
11-42	29.6	0.374	81.5625	0.380905	0.210553	0.261809
11-44	27.8	0.347	101.425	0.387126	0.218042	0.231641
11-45	24.9	0.404	109.239	0.377874	0.230843	0.098659
11-5	27.3	0.351		0.3129	0.180895	0.348627
11-6	32.2	0.349	85.285	0.497839	0.197061	0.194468
11-7	30.8	0.344	78.7075	0.395054	0.175513	0.272618
11-8	31.3	0.35	96.69125	0.404327	0.243193	0.238344
11-9	30.2	0.357		0.532172	0.21403	0.129133
12-10	29.5	0.374		0.508683	0.164255	0.191027
12-11	32.1	0.334				
12-12	27	0.339		0.575	0.184091	0.082955
12-13	25.6	0.356		0.457109	0.179964	0.202759
12-14	30.5	0.365		0.590058	0.174352	0.092939
12-15	29.2	0.382	122.151	0.370409	0.19972	0.282966
12-16	28.5	0.366	60.31692308	0.376414	0.198708	0.273926
12-17	29.5	0.382	54.54357143	0.391076	0.196267	0.249635
12-18	25.5	0.345		0.473462	0.173791	0.197745
12-19	25	0.416		0.484733	0.19084	0.175573
12-2	31.5	0.371	71.33625	0.309264	0.167221	0.35772
12-20	24.5	0.395		0.507937	0.205514	0.123225
12-21	28.7	0.366		0.528257	0.19519	0.140281
12-22	29.7	0.385		0.412638	0.213978	0.233126
