,tkw,testw,length,width,Hard,Prot
0,1.620227959,1.942194676,0.592252368,0.591566421,-0.48231487,-1.627567315
1,-0.749077442,-0.199763058,-0.000360721,-0.945801647,1.462503154,0.128816917
2,-1.733723842,-2.681714083,0.695315513,-1.765731283,0.879057747,1.053229671
3,-0.010592641,1.058212119,-0.051892294,-0.382100022,1.462503154,-1.072919662
4,0.266339159,0.752218157,0.798378659,-1.048292852,2.045948561,0.036375642
5,0.389419959,-0.539756349,1.494054894,-1.202029658,-0.48231487,1.330553497
6,-2.226047042,-2.40971945,-1.056757966,-2.073204897,1.268021352,1.607877323
7,-0.518300942,0.174229562,-0.644505383,-0.79206484,0.490094142,-2.367097518
8,-0.179828741,0.174229562,-0.567208023,0.181601603,0.29561234,-1.535126039
9,0.527885859,1.704199372,-0.489910664,0.642812024,0.879057747,0.775905845
10,-0.133673441,0.956214131,0.360360289,-1.048292852,1.851466759,0.221258193
11,-0.395220141,-0.641754337,1.030270738,-1.099538454,1.073539549,0.591023294
12,-0.502915842,0.480223524,-0.979460607,-0.740819238,-0.093351265,-1.812449865
13,0.081717959,-0.267761716,1.210631243,-0.023380806,0.879057747,0.406140743
14,-0.779847642,0.820216815,-1.314415831,0.130356001,0.101130537,-2.644421344
15,-1.364481442,1.228208764,-1.82973156,-0.535836829,-0.093351265,-0.51827201
16,-1.226015542,0.174229562,-0.902163247,-0.894556045,0.879057747,-0.425830735
17,-0.349064841,0.786217486,-0.773334315,-0.33085442,-0.093351265,-2.829303894
18,-0.195213841,0.990213461,-0.541442237,-0.125872011,0.101130537,-0.795595836
19,-1.779879142,-0.573755678,-1.469010549,-0.484591227,-0.287833068,-1.350243489
20,0.281724259,0.412224866,1.339460175,-0.894556045,1.462503154,0.128816917
21,0.081717959,0.956214131,-0.644505383,-0.023380806,0.29561234,0.128816917
22,-0.502915842,0.61622084,-0.618739596,-0.740819238,0.490094142,-2.367097518
23,-1.302941042,1.364206081,-2.499642008,-0.125872011,0.490094142,0.313699468
24,-0.225984041,0.582221511,0.128468211,-0.740819238,0.490094142,-0.795595836
25,-0.595226442,0.446224195,-0.206487013,-0.587082431,0.684575944,-0.980478387
26,-0.179828741,0.718218828,0.231531357,-0.79206484,0.29561234,-0.240948184
